,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,Month,Hour,day_in_week,day,sentiment
0,beingsrbsumit07,"My Jaan @BeingSalmanKhan 🦁#Bhaijaan❤️ #Fav👉
#CaptainCool😇
@msdhoni ❤️ 
Crush👉 @iamRashmika❤️❤️😍 @hegdepooja ❤️😍
 #Hiba❤️😍 @iamSanjeeda 😍",sab ke dil me  heavyheartexclamation ,1577,2835,63609,2017-10-10 13:39:17,2021-03-24 13:10:16,4,"bollybubble salmankhan gets his first jab of covid vaccine

beingsalmankhan bollywoodbubble

","[{'text': 'SalmanKhan', 'indices': [17, 28]}, {'text': 'Covid19', 'indices': [51, 59]}, {'text': 'bollywoodbubble', 'indices': [86, 102]}]",3,13,Wednesday,24,1
1,bollybubble,Bollywood Bubble - Your One Stop Destination For Latest Bollywood Updates.,mumbai maharashtra,439,131695,50653,2015-10-22 07:21:11,2021-03-24 13:09:05,4,"salmankhan gets his first jab of covid vaccine

beingsalmankhan bollywoodbubble

","[{'text': 'SalmanKhan', 'indices': [0, 11]}, {'text': 'Covid19', 'indices': [34, 42]}, {'text': 'bollywoodbubble', 'indices': [69, 85]}]",3,13,Wednesday,24,1
2,SulaiOdus,Always ready to learn. Ex-Commando. #Leadership #Entrepreneur #OmoOgun,global,3073,18217,31991,2012-06-22 07:32:50,2021-03-24 13:05:52,5,nphcdang military officers displaying their vaccination cards after receiving st jab of the astrazeneca covid vaccine at  armour ,"[{'text': 'COVID19', 'indices': [110, 118]}]",3,13,Wednesday,24,0
3,magarya,"PRO with NYSC, I tweet and Re Tweet. I love inspiration & Motivation quotes. Passionate Arsenal fan♡♡ Fitness Fanatic♥ #Arsenal #1000days",nextdays racesurvival,4931,3978,490263,2009-05-20 17:17:03,2021-03-24 13:03:48,5,nphcdang military officers displaying their vaccination cards after receiving st jab of the astrazeneca covid vaccine at  armour ,"[{'text': 'COVID19', 'indices': [110, 118]}]",3,13,Wednesday,24,0
4,ThisIsMansherry,"#LastBorn of #LIBRA♎.
#Simple.
#Classic.
@k1_theultimate FAN
#Workaholic.
#Playing harder.
#Calm & #Collected.
@chelseafc fan.
#KTBFFH
#BUHARI is my #PRESIDENT",here and there universe,2011,1581,55952,2019-01-06 20:00:27,2021-03-24 12:59:43,5,nphcdang military officers displaying their vaccination cards after receiving st jab of the astrazeneca covid vaccine at  armour ,"[{'text': 'COVID19', 'indices': [110, 118]}]",3,12,Wednesday,24,0
5,sama_on_point,Patriotic Nigerian. Good Follower. Better Leader. Proud Muslim. IG: sama_on_point,lagos nigeria,6850,11029,224957,2011-04-12 13:32:13,2021-03-24 12:58:55,5,nphcdang military officers displaying their vaccination cards after receiving st jab of the astrazeneca covid vaccine at  armour ,"[{'text': 'COVID19', 'indices': [110, 118]}]",3,12,Wednesday,24,0
6,NphcdaNG,National Primary Health Care Development Agency. ED/CEO @drfaisalshuaib Visit: https://t.co/aIwileDyf9 for more.,abuja nigeria,223,63452,9395,2012-11-27 12:49:48,2021-03-24 12:57:37,5,military officers displaying their vaccination cards after receiving st jab of the astrazeneca covid vaccine at  ,"[{'text': 'COVID19', 'indices': [96, 104]}]",3,12,Wednesday,24,0
7,OazisHealth,"Enhancing SDG3 through availing #Health information and services to all.

A Healthy Community; Our pride.

Welcome to the #OazisHealth official Twitter handle.",kigali  rwanda ,329,519,1786,2020-05-16 05:23:34,2021-03-24 12:09:39,4,sonumonika the virus knows no borders covidー covid coronavirus coronavirusupdates corona vaccine vaccination vaccineswo ,"[{'text': 'virus', 'indices': [21, 27]}, {'text': 'COVIDー19', 'indices': [46, 55]}, {'text': 'COVID19', 'indices': [56, 64]}, {'text': 'coronavirus', 'indices': [65, 77]}, {'text': 'CoronaVirusUpdates', 'indices': [78, 97]}, {'text': 'Corona', 'indices': [98, 105]}, {'text': 'vaccine', 'indices': [106, 114]}, {'text': 'vaccination', 'indices': [115, 127]}]",3,12,Wednesday,24,0
8,cin_laurel,"Emprendedora, Contadora #ActivistaSocial #PcD #Lider #Familia21 @trisomia21_mex #DDHH #Inclusion #Discapacidad #CuidadoresPrimarios #RedObservacion",mexico,5001,2922,31058,2012-07-18 16:16:22,2021-03-24 11:54:06,2,"idacrpdforum  largebluecircle covid stories by persons with disabilities

 envelopewitharrow do you have a story on covidvaccination to share spread your voice ","[{'text': 'COVID19vaccination', 'indices': [92, 111]}]",3,11,Wednesday,24,0
9,SiCarswell,"Journalist & author, Public Affairs Editor at @irishtimes Email: scarswell{at}https://t.co/1Etncb0wHP Past: Finance & US Correspondent",dublin city ireland,2798,27929,27771,2010-05-31 11:55:52,2021-03-24 11:38:01,0,"covid vaccine rollout has been slowgoing but it is giving a muchneeded lift to those who get the jab

spoke to  ","[{'text': 'Covid19', 'indices': [0, 8]}]",3,11,Wednesday,24,1
